"","Date_UTC","ClickTime_UTC","clickDepth_m","fit_line","lwr_CI_99","upr_CI_99"
"225","2016-07-03","2016-07-03_19:06:11.569",1079.41256855732,1115.12313431604,1106.21765118879,1124.0286174433
"226","2016-07-03","2016-07-03_19:06:12.789",1066.33937048251,1117.15700506916,1108.23846456157,1126.07554557674
"227","2016-07-03","2016-07-03_19:06:13.990",1140.14654642609,1119.17517979697,1110.24196774375,1128.10839185018
"228","2016-07-03","2016-07-03_19:06:16.747",1136.02597893368,1123.86333968499,1114.88906404024,1132.83761532973
"229","2016-07-03","2016-07-03_19:06:29.437",1144.92455002781,1146.16314917352,1136.84540525649,1155.48089309054
"230","2016-07-03","2016-07-03_19:06:30.117",1148.9712593901,1147.37932782044,1138.03554727397,1156.7231083669
"231","2016-07-03","2016-07-03_19:06:30.683",1152.18031952353,1148.39244617727,1139.02640512841,1157.75848722613
"232","2016-07-03","2016-07-03_19:06:31.178",1140.94881767327,1149.27901800375,1139.89307339781,1158.6649626097
"233","2016-07-03","2016-07-03_19:06:32.700",1169.68236623056,1152.00750486834,1142.55784824913,1161.45716148756
"234","2016-07-03","2016-07-03_19:06:33.217",1169.14819714746,1152.9349663917,1143.46281696982,1162.40711581359
"235","2016-07-03","2016-07-03_19:06:34.163",1155.27987824415,1154.63251574713,1145.11811408753,1164.14691740673
"236","2016-07-03","2016-07-03_19:06:35.088",1163.437605429,1156.29265224832,1146.73559166789,1165.84971282876
"237","2016-07-03","2016-07-03_19:06:36.028",1187.09675057891,1157.97957409093,1148.3778334169,1167.58131476496
"238","2016-07-03","2016-07-03_19:06:36.513",1161.80603542879,1158.84976489099,1149.2244588169,1168.47507096508
"239","2016-07-03","2016-07-03_19:06:38.760",1160.9902550343,1162.87779635744,1153.13894095254,1172.61665176233
"240","2016-07-03","2016-07-03_19:06:41.183",1200.15117738662,1167.20992159148,1157.34108837411,1177.07875480884
"241","2016-07-03","2016-07-03_19:06:45.081",1175.88371330434,1174.13680470476,1164.04462787139,1184.22898153813
"242","2016-07-03","2016-07-03_19:06:47.848",1209.78348036177,1179.00815399731,1168.74873099982,1189.26757699479
"243","2016-07-03","2016-07-03_19:06:48.316",1179.1720954425,1179.82742415765,1169.53913589135,1190.11571242395
"244","2016-07-03","2016-07-03_19:06:50.434",1225.89651641722,1183.51587830685,1173.09526043761,1193.93649617609
"245","2016-07-03","2016-07-03_19:06:51.351",1164.77423507247,1185.10221237752,1174.62357567901,1195.58084907604
"246","2016-07-03","2016-07-03_19:06:51.803",1208.42202413328,1185.88159763006,1175.37423192264,1196.38896333748
"247","2016-07-03","2016-07-03_19:06:53.052",1206.83467149733,1188.02607943673,1177.43895848525,1198.6132003882
"248","2016-07-03","2016-07-03_19:07:26.272",1235.69070660809,1236.78937572073,1224.48037440281,1249.09837703866
"249","2016-07-03","2016-07-03_19:07:32.444",1289.27148884547,1243.60705736384,1231.18079629573,1256.03331843195
"250","2016-07-03","2016-07-03_19:07:33.746",1299.15501915192,1245.00150619537,1232.55759144358,1257.44542094715
"251","2016-07-03","2016-07-03_19:07:33.848",1299.86100671423,1245.11010780787,1232.66491128138,1257.55530433436
"252","2016-07-03","2016-07-03_19:07:38.937",1296.89090715067,1250.41073431621,1237.91974075799,1262.90172787442
